/D (x=0.8) X,/D (x=0.8) Y,/CLK (x=0.8) X,/CLK (x=0.8) Y,/Q (x=0.8) X,/Q (x=0.8) Y
1.805539335633933e-07,0.8,1.805539335633933e-07,0,1.805539335633933e-07,0.7999879362422631
1.805578957970941e-07,0.8,1.805578957970941e-07,0,1.805578957970941e-07,0.8000153248405094
1.805621879338392e-07,0.8,1.805621879338392e-07,0,1.805621879338392e-07,0.8000365906395864
1.805659645563955e-07,0.8,1.805659645563955e-07,0,1.805659645563955e-07,0.8000467777764472
1.805702051230188e-07,0.8,1.805702051230188e-07,0,1.805702051230188e-07,0.8000500499518879
1.805755091103775e-07,0.8,1.805755091103775e-07,0,1.805755091103775e-07,0.8000274097439514
1.805797030591691e-07,0.8,1.805797030591691e-07,0,1.805797030591691e-07,0.800006337677041
1.805845626080903e-07,0.8,1.805845626080903e-07,0,1.805845626080903e-07,0.7999936920340055
1.80589290119436e-07,0.8,1.80589290119436e-07,0,1.80589290119436e-07,0.799990982490179
1.805953672963301e-07,0.8,1.805953672963301e-07,0,1.805953672963301e-07,0.7999938100184825
1.806029900387889e-07,0.8,1.806029900387889e-07,0,1.806029900387889e-07,0.7999977507484275
1.806136104885158e-07,0.8,1.806136104885158e-07,0,1.806136104885158e-07,0.8000003178966119
1.806265551831809e-07,0.8,1.806265551831809e-07,0,1.806265551831809e-07,0.7999996152319637
1.806437876526257e-07,0.8,1.806437876526257e-07,0,1.806437876526257e-07,0.79999904657584
1.806689078397587e-07,0.8,1.806689078397587e-07,0,1.806689078397587e-07,0.7999992268752685
1.807060757721587e-07,0.8,1.807060757721587e-07,0,1.807060757721587e-07,0.7999998703649838
1.807532497418366e-07,0.8,1.807532497418366e-07,0,1.807532497418366e-07,0.7999999973509044
1.808216806107905e-07,0.8,1.808216806107905e-07,0,1.808216806107905e-07,0.799999917737204
1.809108403053953e-07,0.8,1.809108403053953e-07,0,1.809108403053953e-07,0.8000000201710975
1.81e-07,0.8,1.81e-07,0,1.81e-07,0.7999999454899775
1.810000390625e-07,0.8,1.810000390625e-07,0.003124999999871195,1.810000390625e-07,0.7999999349383448
1.810001171875e-07,0.8,1.810001171875e-07,0.009375000000308416,1.810001171875e-07,0.8000000898197068
1.810002734375e-07,0.8,1.810002734375e-07,0.02187500000118286,1.810002734375e-07,0.8000008847022684
1.810004792704807e-07,0.8,1.810004792704807e-07,0.0383416384550342,1.810004792704807e-07,0.8000020129894619
1.810006988237996e-07,0.8,1.810006988237996e-07,0.0559059039691323,1.810006988237996e-07,0.800003032372841
1.810011379304375e-07,0.8,1.810011379304375e-07,0.09103443499732847,1.810011379304375e-07,0.800004667127279
1.810020161437132e-07,0.8,1.810020161437132e-07,0.1612914970537208,1.810020161437132e-07,0.8000063926117773
