/CK X,/CK Y,/D X,/D Y,/QD X,/QD Y
1.429870811392097e-09,0,1.429870811392097e-09,0.8,1.429870811392097e-09,4.946104274115043e-08
1.479461417160799e-09,0,1.479461417160799e-09,0.8,1.479461417160799e-09,4.887563794941536e-08
1.56803960154382e-09,0,1.56803960154382e-09,0.8,1.56803960154382e-09,4.930124259076483e-08
1.681128833241438e-09,0,1.681128833241438e-09,0.8,1.681128833241438e-09,4.892120677809604e-08
1.81e-09,0,1.81e-09,0.8,1.81e-09,4.927844647447452e-08
1.8100390625e-09,0,1.8100390625e-09,0.7968749999999964,1.8100390625e-09,4.721113754950055e-08
1.8101171875e-09,0,1.8101171875e-09,0.7906249999999894,1.8101171875e-09,4.276863659822178e-08
1.81015625e-09,0,1.81015625e-09,0.7874999999999859,1.81015625e-09,4.071738234057229e-08
1.810234375e-09,0,1.810234375e-09,0.7812499999999788,1.810234375e-09,3.70409975289597e-08
1.810390065128332e-09,0,1.810390065128332e-09,0.768794789733397,1.810390065128332e-09,3.507078548546962e-08
1.81063236484642e-09,0,1.81063236484642e-09,0.7494108122863687,1.81063236484642e-09,2.862043289549919e-08
1.811116964282596e-09,0,1.811116964282596e-09,0.7106428573923125,1.811116964282596e-09,1.793639240061259e-08
1.812060959371073e-09,0,1.812060959371073e-09,0.635123250314185,1.812060959371073e-09,7.595643498667455e-09
1.813524162689248e-09,0,1.813524162689248e-09,0.5180669848601391,1.813524162689248e-09,9.926911654881788e-09
1.815361682499006e-09,0,1.815361682499006e-09,0.3710654000795029,1.815361682499006e-09,3.595263287282494e-08
1.817072203046681e-09,0,1.817072203046681e-09,0.2342237562655137,1.817072203046681e-09,5.72246454089696e-08
1.818536101523341e-09,0,1.818536101523341e-09,0.1171118781327499,1.818536101523341e-09,6.865739055665588e-08
1.81926805076167e-09,0,1.81926805076167e-09,0.05855593906637635,1.81926805076167e-09,7.128370890916372e-08
1.82e-09,0,1.82e-09,0,1.82e-09,7.730879792859518e-08
1.82007014970283e-09,0,1.82007014970283e-09,0,1.82007014970283e-09,8.097938193041998e-08
1.820105224554246e-09,0,1.820105224554246e-09,0,1.820105224554246e-09,8.318084609242774e-08
1.820175374257076e-09,0,1.820175374257076e-09,0,1.820175374257076e-09,8.766902984589442e-08
1.820315673662737e-09,0,1.820315673662737e-09,0,1.820315673662737e-09,9.553176742422271e-08
1.820492478632022e-09,0,1.820492478632022e-09,0,1.820492478632022e-09,1.049065797594207e-07
1.820846088570591e-09,0,1.820846088570591e-09,0,1.820846088570591e-09,1.205592927152791e-07
1.82155330844773e-09,0,1.82155330844773e-09,0,1.82155330844773e-09,1.414138163646605e-07
1.822967748202008e-09,0,1.822967748202008e-09,0,1.822967748202008e-09,1.502110113471281e-07
1.824722430568815e-09,0,1.824722430568815e-09,0,1.824722430568815e-09,1.359488280004696e-07
1.826918411536178e-09,0,1.826918411536178e-09,0,1.826918411536178e-09,9.56995843908639e-08
1.829263946548526e-09,0,1.829263946548526e-09,0,1.829263946548526e-09,4.936708576858197e-08
1.831151502926956e-09,0,1.831151502926956e-09,0,1.831151502926956e-09,1.404923431612335e-08
1.833166692046947e-09,0,1.833166692046947e-09,0,1.833166692046947e-09,-8.746451254812704e-09
1.835732537320366e-09,0,1.835732537320366e-09,0,1.835732537320366e-09,-1.186540485487327e-08
1.839582563015364e-09,0,1.839582563015364e-09,0,1.839582563015364e-09,1.038329205615665e-08
1.845270770393989e-09,0,1.845270770393989e-09,0,1.845270770393989e-09,2.381097357595936e-08
1.851685819883764e-09,0,1.851685819883764e-09,0,1.851685819883764e-09,1.302417921415771e-09
1.856890685395504e-09,0,1.856890685395504e-09,0,1.856890685395504e-09,-3.661243465223491e-08
1.861960696829298e-09,0,1.861960696829298e-09,0,1.861960696829298e-09,8.21692739025569e-09
1.86777153683048e-09,0,1.86777153683048e-09,0,1.86777153683048e-09,1.023945752050841e-07
1.873151869218014e-09,0,1.873151869218014e-09,0,1.873151869218014e-09,1.51051247719736e-07
1.878700421631472e-09,0,1.878700421631472e-09,0,1.878700421631472e-09,1.22250705478878e-07
1.885758722430251e-09,0,1.885758722430251e-09,0,1.885758722430251e-09,5.708153000788171e-08
1.894065353442945e-09,0,1.894065353442945e-09,0,1.894065353442945e-09,2.07246739658173e-08
1.902498335392306e-09,0,1.902498335392306e-09,0,1.902498335392306e-09,7.791668782877883e-08
1.909953863381681e-09,0,1.909953863381681e-09,0,1.909953863381681e-09,1.20000140781713e-07
1.917656060698148e-09,0,1.917656060698148e-09,0,1.917656060698148e-09,1.258944430673543e-07
